Date,Ticker,Open,High,Low,Close,Volume
2024-01-02,000660,130993.01,132187.97,127800.72,130000.0,827736
2024-01-02,005930,71657.45,72194.56,70433.41,71000.0,2850461
2024-01-03,000660,127392.7,128796.64,126434.91,127240.63,2758567
2024-01-03,005930,70781.3,72690.38,70290.77,71348.51,949241
2024-01-04,000660,127217.88,130208.52,125126.52,128297.09,2687989
2024-01-04,005930,72342.83,73681.87,70988.54,72631.95,2080775
2024-01-05,000660,131935.6,133423.18,130246.17,131099.02,1491570
2024-01-05,005930,74600.49,75788.79,73173.31,74831.14,2717380
2024-01-08,000660,129624.61,131853.85,128163.22,129699.4,1587156
2024-01-08,005930,76941.7,78435.03,75781.14,76219.91,1086189
2024-01-09,000660,129410.45,131591.59,127646.45,129425.43,1182275
2024-01-09,005930,74097.94,74206.65,72273.82,73717.17,1511942
2024-01-10,000660,130047.59,132218.55,127156.12,129498.48,1327723
2024-01-10,005930,72025.04,73167.97,71519.61,72041.41,1780985
2024-01-11,000660,126793.29,128679.72,125342.35,127707.75,2447417
2024-01-11,005930,70930.19,72673.95,70085.94,71252.79,1793051
2024-01-12,000660,129626.96,131285.88,127516.82,129236.29,2651184
2024-01-12,005930,70827.9,72455.78,70344.85,71307.63,1285693
2024-01-15,000660,128919.63,131522.37,127894.55,128993.7,1077782
2024-01-15,005930,71392.14,72996.29,70852.11,71993.45,1401170
2024-01-16,000660,130464.59,131400.94,129101.69,130006.51,953210
2024-01-16,005930,71715.47,71993.02,70236.91,71074.57,2875955
2024-01-17,000660,127136.58,130177.29,125142.62,127968.68,2641490
2024-01-17,005930,71220.31,72271.6,70333.92,71334.83,1403273
2024-01-18,000660,126438.77,128677.68,125577.58,126999.41,1927840
2024-01-18,005930,71067.61,71691.4,70174.29,70386.3,1305900
2024-01-19,000660,128187.78,129337.49,125704.86,128688.86,1468682
2024-01-19,005930,69233.11,69743.48,68705.67,69632.65,1610757
2024-01-22,000660,128255.52,130670.29,127423.08,127863.84,2485342
2024-01-22,005930,68385.18,69068.42,67781.53,67890.45,1208156
2024-01-23,000660,132637.68,134446.16,129891.54,131876.89,2795829
2024-01-23,005930,67274.95,68334.89,66425.15,66782.6,2658523
2024-01-24,000660,131415.01,132945.78,128624.63,130967.81,1783522
2024-01-24,005930,65518.05,66363.12,64036.77,65177.79,871557
2024-01-25,000660,131432.49,133829.02,130168.93,131536.77,1636881
2024-01-25,005930,64591.58,65412.95,63740.79,64052.45,1859349
2024-01-26,000660,135060.06,135479.25,132182.68,133784.29,892454
2024-01-26,005930,64786.77,65507.03,64334.93,65286.46,1746672
2024-01-29,000660,131034.55,133451.28,128494.53,130408.84,2688351
2024-01-29,005930,63805.88,64854.1,62607.61,64190.35,2080337
2024-01-30,000660,125789.79,128626.85,125075.97,126314.71,2570794
2024-01-30,005930,66940.42,68337.48,65996.36,67251.13,1801484
2024-01-31,000660,121699.19,125254.62,120945.48,122883.77,1470452
2024-01-31,005930,67205.57,68029.77,66362.63,67868.48,1855865
2024-02-01,000660,126541.54,127344.94,125283.71,125713.36,1047676
2024-02-01,005930,68250.9,68697.37,67651.78,68114.64,2692269
2024-02-02,000660,125009.49,126418.76,122240.61,124502.3,1332166
2024-02-02,005930,67458.14,67576.38,66353.46,67082.68,1030846
2024-02-05,000660,129002.28,131563.24,127160.65,130272.69,2116386
2024-02-05,005930,67597.86,69290.17,66428.92,67948.42,1897553
2024-02-06,000660,128465.58,129852.68,127710.29,128988.66,905914
2024-02-06,005930,67423.71,68391.03,66634.71,67264.75,821495
2024-02-07,000660,130498.99,132742.66,128509.3,129455.85,2105087
2024-02-07,005930,67198.62,68163.39,65966.83,67432.66,1571379
2024-02-08,000660,134132.33,134738.78,130626.04,133088.12,1326922
2024-02-08,005930,69901.54,70736.19,69030.68,70560.29,1091974
2024-02-09,000660,138746.46,138976.6,136702.52,137933.81,2989962
2024-02-09,005930,70554.63,71549.44,70122.03,70459.45,1240330
2024-02-12,000660,144111.46,145683.36,140404.66,143093.51,2629021
2024-02-12,005930,71459.77,72153.04,70894.67,71938.18,2354246
2024-02-13,000660,146538.32,147004.85,143584.63,146248.81,2801179
2024-02-13,005930,70383.62,72384.1,69045.45,71049.23,1990851
2024-02-14,000660,149492.68,151997.65,148496.93,148988.5,2057899
2024-02-14,005930,71322.77,72574.37,70568.93,71025.79,2563801
2024-02-15,000660,150674.79,152057.7,148516.83,150622.23,1756111
2024-02-15,005930,73075.61,74519.3,71725.33,73311.01,2768596
2024-02-16,000660,153614.57,155525.0,152312.95,152777.71,1775436
2024-02-16,005930,72574.67,73774.23,71678.66,72505.66,2215870
2024-02-19,000660,151631.86,153602.29,149982.67,151307.79,2345794
2024-02-19,005930,74932.39,76048.89,73511.14,74892.84,932774
2024-02-20,000660,148341.68,150725.62,145668.6,149124.78,1645924
2024-02-20,005930,75485.66,76175.26,75226.29,75869.41,1282270
2024-02-21,000660,149123.67,151158.06,148834.38,149160.46,2121432
2024-02-21,005930,75839.01,76400.3,73881.5,75124.03,2537336
2024-02-22,000660,149472.97,151060.23,147565.43,148748.28,956050
2024-02-22,005930,76242.98,77040.91,75283.66,76001.73,2382243
2024-02-23,000660,146854.47,148741.62,145235.75,147579.4,900427
2024-02-23,005930,76934.91,78896.73,76821.13,77355.02,2230716
2024-02-26,000660,148397.44,150409.21,148168.78,149473.58,1528963
2024-02-26,005930,77773.85,79333.52,76325.06,78244.03,867435
2024-02-27,000660,152034.07,152807.44,150757.71,152088.69,1417503
2024-02-27,005930,75687.42,76800.58,75422.3,76056.01,2399771
2024-02-28,000660,151483.4,154024.28,148469.57,152376.34,816860
2024-02-28,005930,75447.83,76133.23,74075.21,75083.37,1616285
2024-02-29,000660,155595.42,156740.24,152802.87,156474.59,1545493
2024-02-29,005930,75500.62,75633.65,74507.7,74771.37,2073085
2024-03-01,000660,154233.68,156064.27,151733.1,153305.91,1445675
2024-03-01,005930,74601.92,75797.59,73799.71,74693.62,2721531
2024-03-04,000660,154137.09,155453.93,150014.03,152817.5,2157546
2024-03-04,005930,76155.98,76842.35,74436.88,75550.52,2103170
2024-03-05,000660,149726.2,152032.2,148175.16,150891.57,2723289
2024-03-05,005930,76440.11,76822.5,75195.92,75814.84,2189432
2024-03-06,000660,145848.41,147959.4,145682.66,145867.24,1089276
2024-03-06,005930,74360.36,74620.61,73541.64,74015.28,2799871
2024-03-07,000660,145037.5,146931.86,143299.19,145693.91,1704246
2024-03-07,005930,74066.46,74955.0,73952.14,74544.02,1198149
2024-03-08,000660,146603.82,148739.34,144189.58,145418.34,1480619
2024-03-08,005930,75919.97,76705.99,74232.06,75385.66,2715649
2024-03-11,000660,150391.1,153270.51,148766.41,149423.46,803443
2024-03-11,005930,76084.56,76989.08,75082.18,76167.88,2104491
2024-03-12,000660,151577.32,151876.16,148881.52,151164.93,930954
2024-03-12,005930,77149.8,78327.32,77027.82,77672.5,1367893
2024-03-13,000660,148731.62,150820.58,145777.89,148423.5,1644445
2024-03-13,005930,79108.93,79676.82,78443.43,78861.71,1087922
2024-03-14,000660,153287.18,154650.68,150573.92,153421.47,1721685
2024-03-14,005930,80284.55,81057.05,78303.16,79537.18,961692
2024-03-15,000660,157627.38,157997.67,153941.63,156839.48,1580496
2024-03-15,005930,78935.77,80324.78,77862.48,79460.59,2623543
2024-03-18,000660,159930.4,162121.9,157403.46,158529.86,1596223
2024-03-18,005930,77002.19,77550.26,76365.05,77108.77,2354909
